name,fifa_rating,elo_rating,goalimpact_rating,ea_fifa_18_rating,boost,group,att,mid,def,overall
russia,70,45,9,4,0,a,80,78,76,78
egypt,45,50,29,3.5,0,a,74,72,71,72
saudi arabia,67,63,20,3.5,0,a,73,72,73,72
uruguay,14,12,19,4.5,0,a,86,76,79,81
france,7,4,5,5,0,c,82,85,81,84
australia,11,10,31,3.5,0,c,69,73,71,73
peru,36,32,27,3.5,0,c,73,72,71,72
denmark,12,16,10,4,0,c,77,77,75,77
brazil,2,1,4,5,0,e,86,83,85,85
switzerland,6,14,15,4,0,e,74,77,78,78
costa rica,23,31,30,3,0,e,73,72,71,73
serbia,34,22,13,4,0,e,76,74,67,77
belgium,3,8,3,5,0,g,86,83,85,84
panama,55,48,32,3,0,g,75,75,69,71
tunisia,21,49,28,3,0,g,75,75,69,71
england,12,7,8,4.5,0,g,84,81,81,82
portugal,4,6,11,4.5,0,b,85,82,80,82
spain,10,3,2,5,0,b,84,86,86,86
morocco,41,35,26,3.5,0,b,74,77,77,76
iran,37,21,23,3.5,0,b,73,74,69,72
argentina,5,5,7,4.5,0,d,87,81,80,82
iceland,22,24,25,3.5,0,d,73,74,69,72
croatia,20,17,6,4,0,d,82,77,78,80
nigeria,48,44,24,3.5,0,d,82,70,76,78
germany,1,2,1,5,0,f,81,85,84,85
mexico,15,18,16,3.5,0,f,79,79,76,78
sweden,24,20,21,4,0,f,76,75,76,76
south korea,57,40,14,4,0,f,75,71,69,72
poland,8,19,12,4,0,h,82,77,76,79
senegal,27,27,18,3.5,0,h,77,76,76,76
colombia,16,9,22,4,0,h,81,77,78,79
japan,61,43,17,3,0,h,76,78,73,75
